id,xcoord,ycoord,bng_N,bng_E,venueSize,gigName,locationName,billing,headlineArtist,date,year,month,day,time
69,-0.141771,51.552048,185374.97,528820.3,2350,"Blur at The Forum (June 12, 1991)","London, UK",,,1991-06-12,1991,6,12,null
70,-0.969,51.454,173339.06,471628.8,-1,Reading Festival 1991,"Reading, UK",,,1991-08-23,1991,8,23,null
71,-1.2350084,54.57475,520233.2,449446.34,-1,"Blur with Spitfire at Middlesbrough Town Hall (October 4, 1991)","Middlesbrough, UK",,,1991-10-04,1991,10,4,null
72,-1.4912771,53.381065,387286.6,433835.84,-1,"Blur at Octagon Centre, University of Sheffield (October 5, 1991)","Sheffield, UK",,,1991-10-05,1991,10,5,null
73,-5.9292774,54.58605,528319.8,146158.7,-1,"Blur at Mandela Hall (October 8, 1991)","Belfast, UK",,,1991-10-08,1991,10,8,null
74,-1.12483,52.623302,303237.88,459236.6,-1,"Blur at Leicester University Student Union (October 10, 1991)","Leicester, UK",,,1991-10-10,1991,10,10,null
75,1.2490275,52.62884,308450.78,619856.56,1500,"Blur at Norwich UEA LCR (October 11, 1991)","Norwich, UK",,,1991-10-11,1991,10,11,null
76,-2.23149,53.464108,396428.9,384633.22,1500,"Blur at Manchester Academy (October 12, 1991)","Manchester, UK",,,1991-10-12,1991,10,12,null
77,-1.8875484,52.475746,286472.56,407637.03,1500,"Blur at The Institute (October 14, 1991)","Birmingham, UK",,,1991-10-14,1991,10,14,null
78,-3.1771,51.478,176160.92,318264.06,-1,"Blur at Cardiff University (October 21, 1991)","Cardiff, UK",,,1991-10-21,1991,10,21,null
79,-1.548,53.797,433531.12,429769.4,-1,"Blur at Leeds Polytechnic Student Union (October 22, 1991)","Leeds, UK",,,1991-10-22,1991,10,22,null
80,0.1194611,52.20439,258403.69,544816.44,1800,"Blur at Corn Exchange Cambridge (October 23, 1991)","Cambridge, UK",,,1991-10-23,1991,10,23,null
81,-0.1985375,51.542496,184214.38,524911.5,-1,"Blur with Wir at Kilburn National Ballroom (October 24, 1991)","London, UK",,,1991-10-24,1991,10,24,null
82,-0.128,51.5078,180479.5,529900.8,-1,"Blur at The Word (December 1, 1991)","London, UK",,,1991-12-01,1991,12,1,null
83,-0.1148897,51.465122,175757.08,530932.7,4921,"Jesus Jones with Blur, Diesel Park West, Sensitize, and 1 more… at O2 Academy Brixton (December 21, 1991)","London, UK",,,1991-12-21,1991,12,21,null
