id,xcoord,ycoord,bng_N,bng_E,venueSize,gigName,locationName,billing,headlineArtist,date,year,month,day,time
86,-2.2475262,53.474308,397567.25,383572.62,-1,"Oasis at Haçienda (September 5, 1994)","Manchester, UK",,,1994-09-05,1994,9,5,null
87,-1.4055136,50.907608,112245.66,441793.5,1749,"Oasis at O2 Guildhall Southampton (November 30, 1994)","Southampton, UK",,,1994-11-30,1994,11,30,null
88,-1.4912771,53.381065,387286.6,433835.84,-1,"Oasis at Octagon Centre, University of Sheffield (December 1, 1994)","Sheffield, UK",,,1994-12-01,1994,12,1,null
89,0.1194611,52.20439,258403.69,544816.44,1800,"Oasis at Corn Exchange Cambridge (December 4, 1994)","Cambridge, UK",,,1994-12-04,1994,12,4,19:00:00
90,-4.2369184,55.855057,664690.9,259993.33,1900,"Oasis at Barrowland Ballroom (December 7, 1994)","Glasgow, UK",,,1994-12-07,1994,12,7,null
91,-2.1299286,52.586216,298761.62,391198.16,4000,"Oasis at The Civic Hall (December 11, 1994)","Wolverhampton, UK",,,1994-12-11,1994,12,11,null
92,-3.1762128,51.481976,176601.97,318332.78,-1,"Oasis at Vision 2k (December 12, 1994)","Cardiff, UK",,,1994-12-12,1994,12,12,null
93,-0.2239576,51.493904,178768.05,523280.2,-1,"Oasis at Hammersmith Palais (December 13, 1994)","London, UK",,,1994-12-13,1994,12,13,null
94,-2.9813228,53.407375,390541.25,334771.8,-1,"Oasis at Royal Court Theatre (December 17, 1994)","Liverpool, UK",,,1994-12-17,1994,12,17,null
95,-2.23149,53.464108,396428.9,384633.22,1500,"Oasis at Manchester Academy (December 18, 1994)","Manchester, UK",,,1994-12-18,1994,12,18,null
96,-4.2369184,55.855057,664690.9,259993.33,1900,"Oasis at Barrowland Ballroom (December 27, 1994)","Glasgow, UK",,,1994-12-27,1994,12,27,null
97,-0.1488263,50.82128,104111.836,530377.44,-1,"Oasis with Ride and The La's at Brighton Centre (December 29, 1994)","Brighton, UK",,,1994-12-29,1994,12,29,null
98,-1.2350084,54.57475,520233.2,449446.34,-1,"Oasis at Middlesbrough Town Hall (December 30, 1994)","Middlesbrough, UK",,,1994-12-30,1994,12,30,null
99,0.6910414,51.5372,185519.88,586607.1,-1,"Oasis with The Verve at Cliffs Pavilion (April 17, 1995)","Westcliff-on-sea, UK",,,1995-04-17,1995,4,17,null
100,-1.4168171,53.400543,389491.4,438770.53,13500,"Oasis with Pulp at Motorpoint Arena (April 22, 1995)","Sheffield, UK",,,1995-04-22,1995,4,22,null
101,-1.1377037,52.631897,304183.44,458353.8,-1,"Oasis at Princess Charlotte (May 5, 1995)","Leicester, UK",,,1995-05-05,1995,5,5,null
102,-2.3526983,51.380913,164766.61,375456.88,-1,"Oasis at Bath Pavilion (June 22, 1995)","Bath, UK",,,1995-06-22,1995,6,22,null
103,-2.54677,51.1897,143586.97,361793.8,-1,Glastonbury Festival 1995,"Shepton Mallet, UK",,,1995-06-23,1995,6,23,null
104,-4.66667,55.6,637271.4,232010.14,-1,"Oasis with The Verve at Irvine Beach (July 14, 1995)","Irvine, UK",,,1995-07-14,1995,7,14,null
