"OBJECTID,N,9,0","id,N,9,0","xcoord,N,19,11","ycoord,N,19,11","venueSize,N,9,0","gigName,C,254","locationNa,C,254","billing,C,254","headlineAr,C,254","date,D","year,N,9,0","month,N,9,0","day,N,9,0","time,C,254",XBNG,YBNG
40,39,-1.1377037,52.631897,-1,"Arctic Monkeys at Princess Charlotte (May 27, 2005)","Leicester, UK",,,27/05/05,2005,5,27,null,458458.2215,304142.5382
41,40,-3.191461,55.948174,-1,"Arctic Monkeys and The Third Eye Foundation with Kain at Subway Cowgate (May 29, 2005)","Edinburgh, UK",,,29/05/05,2005,5,29,null,325690.0131,673434.1228
42,41,-4.2551727,55.85592,-1,"Arctic Monkeys with RAISING KAIN at Glasgow Barfly (May 30, 2005)","Glasgow, UK",,,30/05/05,2005,5,30,null,258934.6881,664825.307
43,42,-1.5877846,54.984955,-1,"Arctic Monkeys at The Cumberland Arms (May 31, 2005)","Newcastle Upon Tyne, UK",,,31/05/05,2005,5,31,null,426477.4404,565672.9474
44,43,-1.3965323,50.904526,150,"Mach Schau with Arctic Monkeys and The Dead at The Joiners (June 2, 2005)","Southampton, UK",,,02/06/05,2005,6,2,null,442529.4006,111845.8677
45,44,-2.590066,51.463764,-1,"Arctic Monkeys at The Croft (June 3, 2005)","Bristol, UK",,,03/06/05,2005,6,3,null,359105.0017,174031.0185
46,45,-3.1791074,51.48307,-1,"Arctic Monkeys at Barfly Cardiff (June 4, 2005)","Cardiff, UK",,,04/06/05,2005,6,4,null,318220.1137,176672.4087
47,46,-0.1059202,51.534584,800,"Arctic Monkeys with The Little Flames at O2 Academy Islington (June 6, 2005)","London, UK",,,06/06/05,2005,6,6,null,531468.8506,183442.1131
48,47,-2.1242282,52.587673,-1,"Arctic Monkeys at The Little Civic (June 7, 2005)","Wolverhampton, UK",,,07/06/05,2005,6,7,null,391680.6146,298881.6175
49,48,-2.2308395,53.465034,-1,"Arctic Monkeys at Jabez Clegg, Manchester University (June 9, 2005)","Manchester, UK",,,09/06/05,2005,6,9,null,384772.2257,396501.6962
