"OBJECTID,N,9,0","id,N,9,0","xcoord,N,19,11","ycoord,N,19,11","venueSize,N,9,0","gigName,C,254","locationNa,C,254","billing,C,254","headlineAr,C,254","date,D","year,N,9,0","month,N,9,0","day,N,9,0","time,C,254",XBNG,YBNG
147,146,-0.1331833,51.590786,10250,"Arctic Monkeys with Voxtrot, The Horrors, and Rascals at Alexandra Palace (December 9, 2007)","London, UK",,,09/12/07,2007,12,9,19:00:00,529418.5127,189643.4258
148,147,-2.3037128,53.39997,-1,"Arctic Monkeys with The Horrors and Rascals at Manchester Central (GMEX) (December 11, 2007)","Manchester, UK",,,11/12/07,2007,12,11,19:30:00,379903.4087,389281.3006
149,148,-2.3037128,53.39997,-1,"Arctic Monkeys with The Horrors and Rascals at Manchester Central (GMEX) (December 12, 2007)","Manchester, UK",,,12/12/07,2007,12,12,19:30:00,379903.4087,389281.3006
150,149,-2.11,57.1526,-1,"Arctic Monkeys with The Horrors and Rascals at Aberdeen Exhibition & Conference Centre (December 14, 2007)","Aberdeen, UK",,,14/12/07,2007,12,14,19:00:00,393443.8758,806863.5164
151,150,-2.11,57.1526,-1,"Arctic Monkeys at Aberdeen Exhibition & Conference Centre (December 15, 2007)","Aberdeen, UK",,,15/12/07,2007,12,15,19:00:00,393443.8758,806863.5164
152,151,-2.206175,53.460663,7000,"Arctic Monkeys with Rascals at O2 Apollo Manchester (December 17, 2007)","Manchester, UK",,,17/12/07,2007,12,17,null,386408.2669,396010.3834
153,152,-1.468,53.38,-1,"Arctic Monkeys at Web Transmission (July 30, 2009)","Sheffield, UK",,,30/07/09,2009,7,30,null,435486.7548,387148.2854
154,153,-0.1148897,51.465122,4921,"Arctic Monkeys with Them Crooked Vultures at O2 Academy Brixton (August 26, 2009)","London, UK",,,26/08/09,2009,8,26,null,531045.7189,175701.6561
155,154,-0.969,51.454,4921,Reading Festival 2009,"Reading, UK",,,28/08/09,2009,8,28,12:00:00,471734.4079,173283.7085
156,155,-1.39181,53.9332,-1,Leeds Festival 2009,"Wetherby, UK",,,28/08/09,2009,8,28,12:00:00,440028.9484,448735.2911
157,156,-2.9857597,53.396877,11000,"Arctic Monkeys with Eagles of Death Metal at Echo Arena (November 13, 2009)","Liverpool, UK",,,13/11/09,2009,11,13,19:00:00,334549.9152,389347.0742
158,157,-1.4168171,53.400543,13500,"Arctic Monkeys with Eagles of Death Metal at Motorpoint Arena (November 14, 2009)","Sheffield, UK",,,14/11/09,2009,11,14,19:00:00,438872.8136,389460.291
159,158,-1.624028,54.963074,-1,"Arctic Monkeys with Eagles of Death Metal at Metro Radio Arena (November 16, 2009)","Newcastle Upon Tyne, UK",,,16/11/09,2009,11,16,19:00:00,424171.1609,563224.9504
160,159,-0.2827842,51.5577,12500,"Arctic Monkeys with Eagles of Death Metal at Wembley Arena (November 17, 2009)","London, UK",,,17/11/09,2009,11,17,19:30:00,519142.1997,185710.0266
161,160,-0.2827842,51.5577,12500,"Arctic Monkeys with Eagles of Death Metal at Wembley Arena (November 18, 2009)","London, UK",,,18/11/09,2009,11,18,18:00:00,519142.1997,185710.0266
162,161,-1.9187133,52.48265,-1,"Arctic Monkeys and Eagles of Death Metal at National Indoor Arena (November 20, 2009)","Birmingham, UK",,,20/11/09,2009,11,20,00:00:00,405617.3501,287195.0584
163,162,-2.243345,53.487312,21000,"Arctic Monkeys with Eagles of Death Metal at Phones 4U Arena (November 21, 2009)","Manchester, UK",,,21/11/09,2009,11,21,19:30:00,383950.4681,398982.9696
164,163,-1.147,52.954,10000,"Arctic Monkeys with Eagles of Death Metal at Capital FM Arena (November 22, 2009)","Nottingham, UK",,,22/11/09,2009,11,22,19:30:00,457404.3034,339965.098
165,164,-4.2809606,55.860603,-1,"Arctic Monkeys with Eagles of Death Metal at Scottish Exhibition and Conference Centre (November 24, 2009)","Glasgow, UK",,,24/11/09,2009,11,24,19:30:00,257337.9738,665399.2708
166,165,-5.915621,54.60381,-1,"Arctic Monkeys with Eagles of Death Metal at Odyssey Arena (November 25, 2009)","Belfast, UK",,,25/11/09,2009,11,25,19:30:00,147216.6288,530231.4655
167,166,-0.1781517,51.500786,5544,"Arctic Monkeys with Anna Calvi and Mystery Jets at Royal Albert Hall (March 27, 2010)","London, UK",,,27/03/10,2010,3,27,null,526552.8755,179556.4107
168,167,-0.2238407,51.503506,2000,"Arctic Monkeys with Anna Calvi at O2 Shepherd's Bush Empire (March 28, 2010)","London, UK",,,28/03/10,2010,3,28,null,523374.4489,179780.9506
169,168,-2.9439,54.891,1800,BBC Radio 1's Big Weekend 2011,"Carlisle, UK",,,14/05/11,2011,5,14,null,339553.6711,555548.1196
170,169,-2.9439,54.891,1800,Radio 1's Big Weekend 2011,"Carlisle, UK",,,14/05/11,2011,5,14,null,339553.6711,555548.1196
171,170,-1.468,53.38,-1,"Arctic Monkeys with Miles Kane, The Vaccines, and dead sons at Don Valley Grass Bowl (June 10, 2011)","Sheffield, UK",,,10/06/11,2011,6,10,null,435486.7548,387148.2854
172,171,-1.468,53.38,-1,"Arctic Monkeys and Anna Calvi with Miles Kane and Mabel Love at Don Valley Bowl (June 11, 2011)","Sheffield, UK",,,11/06/11,2011,6,11,null,435486.7548,387148.2854
173,172,-0.128,51.5078,-1,iTunes Festival 2011,"London, UK",,,06/07/11,2011,7,6,null,530013.7302,180424.2206
174,173,-3.42677,56.2075,-1,T In The Park 2011,"Kinross, UK",,,08/07/11,2011,7,8,11:00:00,311592.2497,702572.5347
175,174,0.4522177,51.718914,-1,V Festival 2011,"Chelmsford, UK",,,20/08/11,2011,8,20,12:00:00,569488.1423,205088.7443
176,175,-2.38528,51.392727,-1,V Festival 2011,"Weston Park, UK",,,20/08/11,2011,8,20,12:00:00,373289.7659,166035.8927
177,176,-1.147,52.954,10000,"Arctic Monkeys with The Vaccines at Capital FM Arena (October 28, 2011)","Nottingham, UK",,,28/10/11,2011,10,28,null,457404.3034,339965.098
178,177,0.0051303,51.49693,20000,"Arctic Monkeys with The Vaccines at The O2 Arena (October 29, 2011)","London, UK",,,29/10/11,2011,10,29,null,539285.2916,179460.1717
179,178,0.0051303,51.49693,20000,"Arctic Monkeys with The Vaccines at The O2 Arena (October 30, 2011)","London, UK",,,30/10/11,2011,10,30,null,539285.2916,179460.1717
180,179,-3.1726308,51.478806,7500,"Arctic Monkeys with The Vaccines at Motorpoint Arena Cardiff (November 1, 2011)","Cardiff, UK",,,01/11/11,2011,11,1,null,318662.2347,176190.9809
181,180,-2.243345,53.487312,21000,"Arctic Monkeys with The Vaccines at Phones 4U Arena (November 2, 2011)","Manchester, UK",,,02/11/11,2011,11,2,null,383950.4681,398982.9696
182,181,-1.7289522,52.451088,15700,"Arctic Monkeys with The Vaccines at LG Arena (November 4, 2011)","Birmingham, UK",,,04/11/11,2011,11,4,null,418517.5069,283715.6512
183,182,-1.624028,54.963074,-1,"Doors Alive and Arctic Monkeys with The Villeins and The Vaccines at Metro Radio Arena (November 5, 2011)","Newcastle Upon Tyne, UK",,,05/11/11,2011,11,5,23:00:00,424171.1609,563224.9504
184,183,-2.11,57.1526,-1,"Arctic Monkeys with The Vaccines at Aberdeen Exhibition & Conference Centre (November 6, 2011)","Aberdeen, UK",,,06/11/11,2011,11,6,null,393443.8758,806863.5164
185,184,-4.2809606,55.860603,-1,"Arctic Monkeys with The Vaccines at Scottish Exhibition and Conference Centre (November 8, 2011)","Glasgow, UK",,,08/11/11,2011,11,8,null,257337.9738,665399.2708
186,185,-2.9857597,53.396877,11000,"Arctic Monkeys with The Vaccines at Echo Arena (November 9, 2011)","Liverpool, UK",,,09/11/11,2011,11,9,null,334549.9152,389347.0742
187,186,-2.5858552,51.159843,-1,Glastonbury Festival 2013,"Pilton, UK",,,26/06/13,2013,6,26,20:00:00,359127.6281,140229.0876
188,187,-0.1491962,51.542953,3000,iTunes Festival 2013,"London, UK",,,09/09/13,2013,9,9,null,528443.947,184295.9665
189,188,-1.624028,54.963074,-1,"Arctic Monkeys with The Strypes at Metro Radio Arena (October 22, 2013)","Newcastle Upon Tyne, UK",,,22/10/13,2013,10,22,18:00:00,424171.1609,563224.9504
190,189,-2.243345,53.487312,21000,"Arctic Monkeys with The Strypes at Phones 4U Arena (October 23, 2013)","Manchester, UK",,,23/10/13,2013,10,23,18:00:00,383950.4681,398982.9696
191,190,-0.1965816,51.490677,19000,"Arctic Monkeys with The Strypes at Earls Court (October 25, 2013)","London, UK",,,25/10/13,2013,10,25,18:00:00,525301.4284,178400.5714
192,191,-0.1965816,51.490677,19000,"Arctic Monkeys with The Strypes at Earls Court (October 26, 2013)","London, UK",,,26/10/13,2013,10,26,18:00:00,525301.4284,178400.5714
193,192,-2.9857597,53.396877,11000,"Arctic Monkeys with The Strypes at Echo Arena (October 28, 2013)","Liverpool, UK",,,28/10/13,2013,10,28,18:30:00,334549.9152,389347.0742
194,193,-3.1726308,51.478806,7500,"Arctic Monkeys with The Strypes at Motorpoint Arena Cardiff (October 29, 2013)","Cardiff, UK",,,29/10/13,2013,10,29,18:30:00,318662.2347,176190.9809
195,194,-1.4168171,53.400543,13500,"Arctic Monkeys with The Strypes at Motorpoint Arena (November 18, 2013)","Sheffield, UK",,,18/11/13,2013,11,18,18:30:00,438872.8136,389460.291
196,195,-1.4168171,53.400543,13500,"Arctic Monkeys at Motorpoint Arena (November 18, 2013)","Sheffield, UK",,,18/11/13,2013,11,18,19:00:00,438872.8136,389460.291
197,196,-1.7289522,52.451088,15700,"Arctic Monkeys with The Strypes at LG Arena (November 20, 2013)","Birmingham, UK",,,20/11/13,2013,11,20,20:00:00,418517.5069,283715.6512
198,197,-1.7289522,52.451088,15700,"Arctic Monkeys at LG Arena (November 20, 2013)","Birmingham, UK",,,20/11/13,2013,11,20,19:00:00,418517.5069,283715.6512
199,198,-4.2881346,55.860863,-1,"Arctic Monkeys with The Strypes at The SSE Hydro (November 21, 2013)","Glasgow, UK",,,21/11/13,2013,11,21,18:00:00,256890.0134,665443.0244
200,199,-4.2881346,55.860863,-1,"Arctic Monkeys at The SSE Hydro (November 21, 2013)","Glasgow, UK",,,21/11/13,2013,11,21,19:00:00,256890.0134,665443.0244
201,200,-0.128,51.5078,-1,"Arctic Monkeys with Tame Impala, Miles Kane, and Royal Blood at Finsbury Park (May 23, 2014)","London, UK",,,23/05/14,2014,5,23,null,530013.7302,180424.2206
202,201,-0.128,51.5078,-1,"Arctic Monkeys with Tame Impala, Miles Kane, and Royal Blood at Finsbury Park (May 24, 2014)","London, UK",,,24/05/14,2014,5,24,18:00:00,530013.7302,180424.2206
